"","x"
"1381394118","Cyrtomium fortunei"
"1381391452","Adiantum shastense"
"1375964283","Cyrtomium fortunei"
"1367974901","Adiantum shastense"
"1241930129","Christella appendiculata"
"1236178793","Christella appendiculata"
"1236178171","Ampelopteris prolifera"
"1236180477","Pseudophegopteris aurita"
"1261343539","Salvinia cucullata"
"1261343448","Azolla filiculoides"
"1261343357","mosquito fern"
"1261343266","mosquito fern"
"1261343175","Azolla rubra"
"1261343084","Azolla nilotica"
"1261342993","Azolla microphylla"
"1261342902","Azolla mexicana"
"1241931635","Woodsia polystichoides"
"1241931546","Woodsia macrochlaena"
"1241931458","Stegnogramma sagittifolia"
"1241931369","Rhachidosorus consimilis"
"1241931280","Pseudophegopteris aurita"
"1241931191","Onoclea sensibilis"
"1241931102","ostrich fern"
"1241931013","Macrothelypteris torresiana"
"1241930925","Hymenasplenium unilaterale"
"1241930836","Homalosorus pycnocarpos"
"1241930747","Dryopteris decipiens"
"1241930663","Diplazium unilobum"
"1241930574","Diplazium dilatatum"
"1241930485","Diplazium bellum"
"1241930396","Diplaziopsis javanica"
"1241930307","Deparia lancea"
"1241930218","Cystopteris chinensis"
"1241930040","Athyrium opacum"
"1241929952","Asplenium prolongatum"
"1241929863","Asplenium pekinense"
"1241929774","Athyrium sheareri"
"1241929685","Ampelopteris prolifera"
"1241928872","Schizaea pectinata"
"1241928788","Schizaea elegans"
"1241922869","Hypodematium crenatum"
"1241922780","Diplazium striatum"
"1241922691","Diplazium dushanense"
"1241922603","Diplaziopsis cavaleriana"
"1241922514","Deparia viridifrons"
"1241922425","Deparia pycnosora"
"1241922336","Austroblechnum melanocaulon"
"1241922247","Athyrium sinense"
"1238821811","Lepisorus clathratus"
"1238821723","Athyrium anisopterum"
"1236180832","Woodsia polystichoides"
"1236180743","Woodsia macrochlaena"
"1236180655","Stegnogramma sagittifolia"
"1236180566","Rhachidosorus consimilis"
"1236180388","Onoclea sensibilis"
"1236180299","ostrich fern"
"1236180210","Macrothelypteris torresiana"
"1236180121","Hypodematium crenatum"
"1236180033","Hymenasplenium unilaterale"
"1236179944","Homalosorus pycnocarpos"
"1236179855","Dryopteris decipiens"
"1236179771","Diplazium unilobum"
"1236179682","Diplazium striatum"
"1236179593","Diplazium dushanense"
"1236179504","Diplazium dilatatum"
"1236179415","Diplazium bellum"
"1236179326","Diplaziopsis javanica"
"1236179238","Diplaziopsis cavaleriana"
"1236179149","Deparia viridifrons"
"1236179060","Deparia pycnosora"
"1236178971","Deparia lancea"
"1236178882","Cystopteris chinensis"
"1236178704","Athyrium opacum"
"1236178615","Austroblechnum melanocaulon"
"1236178526","Athyrium sinense"
"1236178438","Asplenium prolongatum"
"1236178349","Asplenium pekinense"
"1236178260","Athyrium sheareri"
"1129604640","Schizaea pectinata"
"1129604556","Schizaea elegans"
"1227542444","Lepisorus clathratus"
"1227542356","Athyrium anisopterum"
"1177818041","Aglaomorpha fortunei"
"1078191322","Actinostachys pennula"
"1131389821","Dryopteris fragrans"
"1104323252","kamraj"
"1104323250","Botrychium ternatum"
"755161331","Mankyua chejuensis"
"633674877","Tmesipteris elongata"
"359751518","field horsetail"
"302375416","Myriopteris lindheimeri"
"301016249","Pteridium aquilinum subsp. aquilinum"
"295791998","Lygodium japonicum"
"295791992","Dicksonia antarctica"
"295791981","Marsilea mutica"
"295791971","Vandenboschia radicans"
"295791960","cinnamon fern"
"295791949","Gleichenia japonica"
"218454801","Alsophila spinulosa"
"633674828","Dicksonia squarrosa"
"110628278","Angiopteris evecta"
"966201822","Cyrtomium falcatum"
"959123350","Woodwardia unigemmata"
"959123260","Cyrtomium devexiscapulae"
"817161807","Cyrtomium falcatum"
"752789864","Angiopteris angustifolia"
"952009479","Woodwardia unigemmata"
"952009389","Cyrtomium devexiscapulae"
"748990836","Angiopteris angustifolia"
"748763192","Polypodium glycyrrhiza"
"748763110","Plagiogyria glauca"
"748763025","Cystopteris protrusa"
"748762970","Dipteris conjugata"
"727397313","Mankyua chejuensis"
"693583130","Ceratopteris richardii"
"649131067","Diplopterygium glaucum"
"649130964","cinnamon fern"
"558516635","Diplopterygium glaucum"
"558516581","Lygodium japonicum"
"558516496","cinnamon fern"
"542687235","Marsilea crenata"
"533310270","Lygodium japonicum"
"474452474","Marsilea crenata"
"474452383","Lygodium japonicum"
"441017993","Psilotum nudum"
"443329611","Equisetum hyemale"
"443267200","Ophioglossum californicum"
"441017901","Ophioglossum californicum"
"441017802","Equisetum hyemale"
"383930550","Mankyua chejuensis"
"313183887","field horsetail"
"308745983","Myriopteris lindheimeri"
"301353331","Pteridium aquilinum subsp. aquilinum"
"242910132","Alsophila spinulosa"
"30352011","Adiantum capillus-veneris"
"124302880","Angiopteris evecta"
"18860289","Psilotum nudum"
"281371607","field horsetail"
"30266690","Adiantum capillus-veneris"
"332015867","field horsetail"
"332015866","Equisetum ramosissimum"
"332015856","Plagiogyria japonica"
"18389442","Psilotum nudum"
